Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;1;75;50-59 ans;1994;750;Roadster;False
Homme;6;88;50-59 ans;2013;1200;Roadster;False
Homme;2;13;40-49 ans;1998;600;Roadster;False
Homme;5;17;70 et plus;1981;600;Trail / Supermotard;False
Homme;2;60;40-49 ans;1990;1000;Routière / GT;False
Homme;1;78;40-49 ans;2007;650;Roadster;False
Homme;1;6;30-39 ans;2014;1000;Routière / GT;False
Femme;1;87;30-39 ans;2005;500;Roadster;False
Homme;1;38;50-59 ans;1995;1200;Roadster;True
Homme;4;74;50-59 ans;2011;1400;Routière / GT;False
Homme;3;77;40-49 ans;2007;600;Roadster;True
Homme;7;39;50-59 ans;2010;1200;Trail / Supermotard;False
Homme;1;13;50-59 ans;2007;1200;Roadster;False
Homme;1;59;50-59 ans;2019;1260;Roadster;True
Homme;4;31;50-59 ans;2016;1000;Roadster;False
Homme;2;32;50-59 ans;2002;900;Roadster;False
Homme;1;93;40-49 ans;2014;125;Scooter;False
Homme;1;69;30-39 ans;2019;900;Trail / Supermotard;False
Femme;3;91;60-69 ans;2019;821;Roadster;False
Homme;1;33;50-59 ans;2013;700;Roadster;False
Homme;1;91;70 et plus;1993;750;Routière / GT;False
Homme;2;78;70 et plus;2005;1200;Routière / GT;False
Homme;3;26;50-59 ans;2006;1000;Roadster;False
Homme;2;57;30-39 ans;1997;750;Custom;False
Homme;1;66;40-49 ans;2006;125;Roadster;False
Homme;2;33;30-39 ans;2006;1000;Sportive;False
Homme;1;27;50-59 ans;2004;1000;Sportive;False
Homme;1;69;40-49 ans;2019;1200;Trail / Supermotard;False
Homme;1;14;50-59 ans;1994;1000;Roadster;False
Homme;2;79;40-49 ans;1984;500;Sportive;False
Homme;5;1;60-69 ans;2007;900;Trail / Supermotard;False
Homme;1;57;40-49 ans;2018;1000;Roadster;False
Homme;2;83;40-49 ans;2018;1200;Roadster;True
Homme;2;1;40-49 ans;2005;1200;Trail / Supermotard;True
Homme;1;82;60-69 ans;2010;1200;Roadster;False
Homme;3;71;60-69 ans;1996;1000;Routière / GT;True
Homme;3;69;50-59 ans;2012;700;Roadster;True
Homme;1;24;30-39 ans;2005;1000;Roadster;False
Femme;1;43;50-59 ans;2016;850;Roadster;False
Homme;4;27;60-69 ans;2005;1200;Routière / GT;False
Homme;3;94;50-59 ans;2017;1200;Trail / Supermotard;True
Homme;2;91;50-59 ans;1979;1300;Routière / GT;False
Homme;3;50;50-59 ans;1993;1500;Routière / GT;False
Homme;2;93;50-59 ans;2015;650;Roadster;False
Homme;1;59;30-39 ans;2011;600;Roadster;False
Homme;1;33;40-49 ans;1995;1000;Routière / GT;False
Homme;1;93;40-49 ans;2003;650;Routière / GT;False
Homme;1;34;60-69 ans;2010;1200;Trail / Supermotard;False
Homme;3;32;60-69 ans;2002;944;Routière / GT;False
Homme;3;44;60-69 ans;2014;1800;Custom;False
Homme;3;40;60-69 ans;2013;1200;Routière / GT;False
Homme;2;12;60-69 ans;2006;700;Routière / GT;False
Homme;1;47;30-39 ans;2014;950;Custom;False
Homme;2;69;40-49 ans;1991;750;Sportive;False
Homme;1;29;50-59 ans;2012;1200;Routière / GT;True
Homme;1;37;50-59 ans;1996;900;Tout terrain (Trial,  Enduro, Cross);True
Homme;10;54;60-69 ans;2012;1200;Routière / GT;False
Homme;1;66;50-59 ans;2019;1000;Roadster;False
Homme;1;73;60-69 ans;2005;1200;Routière / GT;False
Homme;1;69;50-59 ans;2010;300;Scooter;False
Homme;1;86;60-69 ans;2004;1800;Routière / GT;False
Homme;2;93;60-69 ans;2006;900;Custom;False
Homme;10;31;60-69 ans;1990;1000;Routière / GT;False
Homme;2;87;40-49 ans;2007;1200;Trail / Supermotard;False
Homme;1;91;40-49 ans;2002;1000;Routière / GT;False
Homme;1;38;50-59 ans;1998;1200;Routière / GT;False
Homme;2;44;50-59 ans;1986;125;Scooter;False
Homme;1;94;50-59 ans;2006;1200;Roadster;True
Homme;1;33;60-69 ans;2011;1000;Routière / GT;False
Homme;2;95;40-49 ans;1998;900;Routière / GT;True
Homme;2;64;40-49 ans;2009;675;Roadster;False
Femme;1;31;50-59 ans;2016;650;Scooter;True
Homme;1;67;30-39 ans;2010;750;Sportive;False
Femme;2;54;60-69 ans;2004;650;Sportive;False
Homme;14;91;Moins de 30 ans;2006;125;Trail / Supermotard;False
Homme;1;21;60-69 ans;2012;1200;Routière / GT;False
Homme;0;83;60-69 ans;2002;1000;Trail / Supermotard;True
Homme;3;17;50-59 ans;2012;1199;Sportive;True
Homme;2;40;50-59 ans;2015;1200;Trail / Supermotard;False
Homme;1;67;60-69 ans;2003;1800;Routière / GT;False
Homme;2;4;40-49 ans;1986;1000;Custom;False
Homme;2;69;70 et plus;2006;125;Scooter;False
Homme;1;69;50-59 ans;2017;750;Scooter;True
Homme;1;14;40-49 ans;2013;675;Roadster;False
Homme;1;38;40-49 ans;2009;125;Scooter;False
Homme;2;36;50-59 ans;2011;800;Roadster;False
Homme;2;91;60-69 ans;2010;2300;Custom;False
Femme;2;31;30-39 ans;2004;600;Roadster;False
Homme;1;16;60-69 ans;2009;1200;Roadster;False
Homme;1;38;60-69 ans;2016;1600;Routière / GT;False
